"鄉鎮市區","土地區段位置或建物區門牌","都市土地使用分區","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價每平方公尺","編號"
"中山區","臺北市中山區民族東路181~210號","住",1011129,"土地1建物1車位0","一層，騎樓","三層","公寓(5樓含以下無電梯)",NA,"鋼筋混凝土造",611121,87.75,3,2,1,"有","無",21680000,247066,"RPWNMLPLQHMFFCA78CA"
"大安區","臺北市大安區和平東路三段271~300號","住",1060612,"土地1建物1車位0","七層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",730517,170.46,3,1,2,"有","有",24000000,140795,"RPQOMLNLQHMFFFA48DA"
"大安區","臺北市大安區潮州街60巷1~30號","住",1060520,"土地1建物1車位0","七層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",980206,53.96,2,1,1,"有","有",16320000,302446,"RPPNMLOKQHMFFFA18CA"
"大安區","臺北市大安區羅斯福路三段283巷19弄1~30號","住",1060604,"土地2建物1車位0","六層","六層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",720414,132.16,2,2,2,"有","有",30000000,226998,"RPQNMLOKQHMFFFA28CA"
"萬華區","臺北市萬華區桂林路127巷1~30號","商",1060626,"土地1建物1車位0","全","二層","透天厝",NA,"加強磚造",NA,91.38,2,3,3,"有","無",10650000,116546,"RPSOMLMLQHMFFBA18DA"
"大安區","臺北市大安區和平東路二段151~180號","商",1060610,"土地2建物1車位0","二層","十二層","住宅大樓(11層含以上有電梯)","商業用","鋼筋混凝土造",700903,128.54,3,2,2,"有","有",27800000,216275,"RPROMLSKPHMFFFA78CA"
"大安區","臺北市大安區瑞安街61巷1弄1~30號","住",1060603,"土地2建物1車位0","三層","四層","公寓(5樓含以下無電梯)","住家用","加強磚造",NA,211.09,5,2,3,"有","無",38600000,182860,"RPOOMLOLPHMFFFA18CA"
"大安區","臺北市大安區永康街4巷1~30號","住",1060627,"土地1建物1車位0","六層","十層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",960911,50.1,0,0,0,"無","有",16880000,336926,"RPTPMLOLPHMFFFA78CA"
"北投區","臺北市北投區關渡路31~60號","住",1060605,"土地1建物1車位0","十七層","十七層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",781208,178.04,3,2,2,"有","有",21000000,117951,"RPPPMLTJQHMFFEA68CA"
"萬華區","臺北市萬華區西藏路91~120號","住",1060701,"土地2建物1車位0","十一層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1000908,190.14,3,2,2,"有","有",23980000,126118,"RPPNMLRKQHMFFBA18DA"
"中正區","臺北市中正區羅斯福路二段31~60號","其他",1060620,"土地3建物1車位0","八層","十五層","套房(1房1廳1衛)","商業用","鋼筋混凝土造",911125,39.16,1,1,1,"有","有",10100000,257916,"RPUNMLLJQHMFFAA87DA"
"文山區","臺北市文山區景興路153巷1~30號","住",1060608,"土地1建物1車位0","十層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",830317,69.29,2,1,1,"有","有",11400000,164526,"RPVNMLLJQHMFFAA97DA"
"大安區","臺北市大安區通化街39巷61弄1~30號","住",1060620,"土地1建物1車位0","三層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",NA,72.68,3,2,1,"有","無",12000000,165107,"RPSNMLKKQHMFFFA08CA"
"大安區","臺北市大安區仁愛路四段1~30號","其他",1060515,"土地1建物1車位0","五層，陽台","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",NA,89.61,4,2,2,"有","有",22500000,251088,"RPRNMLQLPHMFFFA58CA"
"大安區","臺北市大安區通化街101巷31~60號","商",1060605,"土地1建物1車位0","二層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",720117,90.35,3,2,2,"有","無",9120000,100941,"RPVPMLSKPHMFFFA76DA"
"北投區","臺北市北投區行義路124巷1~30號","住",1060611,"土地1建物1車位0","一層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",710203,111.64,4,2,2,"有","無",7500000,67174,"RPPOMLRKQHMFFEA58DA"
"松山區","臺北市松山區復興南路一段61~90號","商",1060616,"土地1建物1車位0","五層","十二層","套房(1房1廳1衛)","商業用","鋼筋混凝土造",780724,28.7,0,1,1,"有","有",7200000,250871,"RPSNMLMLPHMFFDA18DA"
"北投區","臺北市北投區溫泉路37巷1~30號","住",1060617,"土地2建物1車位0","四層","十三層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",941111,34.65,1,1,1,"有","有",4503000,129957,"RPXNMLKLPHMFFEA58DA"
"北投區","臺北市北投區中和街1~30號","其他",1060628,"土地4建物1車位0","十五層","十七層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",890329,28.84,0,0,0,"無","有",3500000,121359,"RPSNMLOLPHMFFEA48DA"
"信義區","臺北市信義區嘉興街181巷1~30號","住",1060605,"土地1建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",570425,81.57,2,2,1,"有","無",14400000,176535,"RPWOMLRKPHMFFDA98CA"
"松山區","臺北市松山區復興南路一段47巷1~30號","住",1060623,"土地1建物1車位0","二層，陽台","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",NA,148.84,4,2,2,"有","無",25000000,167966,"RPUNMLSKPHMFFDA78CA"
"信義區","臺北市信義區富陽街72巷1~30號","住",1060621,"土地1建物1車位0","二層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",700921,107.88,3,2,1,"有","無",15600000,144605,"RPQOMLSKPHMFFDA48CA"
"松山區","臺北市松山區南京東路五段211~240號","住",1060602,"土地1建物1車位0","十層","十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",711110,114.45,2,2,2,"有","有",21580000,188554,"RPTNMLRLPHMFFDA68CA"
"北投區","臺北市北投區行義路140巷1~30號","住",1060521,"土地1建物1車位0","五層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",740522,129.51,3,2,2,"有","有",15000000,115821,"RPUNMLSKPHMFFEA88CA"
"北投區","臺北市北投區致遠二路95巷31~60號","住",1060609,"土地1建物1車位0","三層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",610922,83.95,2,2,2,"有","無",11500000,136986,"RPVNMLSKPHMFFEA98CA"
"北投區","臺北市北投區裕民六路114巷1~30號","住",1060614,"土地1建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",660512,81.25,2,2,1,"有","無",11068888,136232,"RPUPMLSKPHMFFEA09CA"
"北投區","臺北市北投區致遠一路二段112巷1~30號","住",1060603,"土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",660915,106.88,3,2,2,"有","無",15000000,140344,"RPUOMLTKPHMFFEA09CA"
"中山區","臺北市中山區新生北路二段61~90號","商",1060612,"土地1建物1車位0","六層","十二層","套房(1房1廳1衛)","商業用","鋼筋混凝土造",690721,24.6,1,1,1,"有","有",3250000,132114,"RPTOMLLJQHMFFCA97CA"
"中山區","臺北市中山區建國北路三段93巷5弄1~30號","商",1060701,"土地2建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",690816,114,3,2,2,"有","無",17500000,153509,"RPUNMLOJQHMFFCA28CA"
"中山區","臺北市中山區中山北路一段91~120號","商",1021101,"土地1建物2車位0","七層","二十三層","住宅大樓(11層含以上有電梯)","住家用","見其他登記事項",1060330,229.35,3,2,2,"有","有",79960000,348622,"RPTOMLLKQHMFFCA08CA"
"中正區","臺北市中正區中華路一段1~30號","商",1060614,"土地1建物1車位0","七層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1041214,55.7,1,1,1,"有","有",14450000,259425,"RPSNMLSKPHMFFBA38CA"
"文山區","臺北市文山區景興路181~210號","商",1060609,"土地1建物2車位0","十層","二十四層","套房(1房1廳1衛)","商業用","見使用執照",850104,45.32,1,1,1,"有","有",5890000,129965,"RPPOMLTJQHMFFAA18CA"
"萬華區","臺北市萬華區大理街160巷22弄1~30號","其他",1060518,"土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",NA,107.98,3,2,1,"有","無",6400000,59270,"RPQNMLTKPHMFFBA28CA"
"大同區","臺北市大同區民生西路301~330號","其他",1060620,"土地6建物1車位0","六層","十一層","住宅大樓(11層含以上有電梯)","商業用","鋼筋混凝土造",660609,55.14,2,2,1,"有","有",8470000,153609,"RPXOMLLLPHMFFBA38CA"
"文山區","臺北市文山區興隆路三段121~150號","住",1060616,"土地1建物1車位0","八層","十層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",970523,38.7,1,1,1,"有","有",7600000,196382,"RPTOMLSKPHMFFAA48CA"
"中正區","臺北市中正區泉州街18巷1~30號","住",1060626,"土地2建物1車位0","二層，陽台","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",NA,138.5,4,2,2,"有","無",16500000,119134,"RPQOMLLMPHMFFAA67CA"
"大同區","臺北市大同區民樂街151~180號","其他",1060615,"土地1建物1車位0","一層","四層","公寓(5樓含以下無電梯)","商業用","加強磚造",640731,71.47,2,1,2,"有","無",11000000,153911,"RPXNMLNJQHMFFBA38CA"
"中山區","臺北市中山區敬業三路162巷151~180號","住",1060611,"土地1建物1車位0","一層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",890628,143.08,1,0,2,"有","有",23500000,164244,"RPSPMLRKPHMFFCA58CA"
"內湖區","臺北市內湖區康樂街72巷17弄1~30號","住",1060630,"土地1建物1車位0","一層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",741126,107.59,3,2,2,"有","無",14300000,132912,"RPRPMLSKPHMFFCA58CA"
"中山區","臺北市中山區長春路31~60號","商",1060622,"土地1建物1車位0","七層","十二層","住宅大樓(11層含以上有電梯)","商業用","鋼筋混凝土造",730326,39.88,0,0,0,"無","有",5620000,140923,"RPXQMLSKPHMFFCA66CA"
"中山區","臺北市中山區林森北路85巷31~60號","商",1060627,"土地2建物1車位0","七層","七層","套房(1房1廳1衛)","商業用","鋼筋混凝土造",NA,33.11,1,1,1,"有","有",4100000,123830,"RPRRMLSKPHMFFCA78CA"
"內湖區","臺北市內湖區康寧路三段99巷39弄1~30號","住",1060611,"土地1建物1車位0","六層","六層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",840508,135.71,3,2,2,"有","有",19700000,145162,"RPSNMLKLPHMFFCA77CA"
"中山區","臺北市中山區林森北路301~330號","商",1060609,"土地1建物1車位0","十三層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",920213,36.83,1,1,1,"有","有",7400000,200923,"RPPOMLOLPHMFFCA97CA"
"內湖區","臺北市內湖區內湖路三段60巷8弄1~30號","住",1060409,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",700216,96.36,0,0,0,"無","無",13500000,140100,"RPSOMLKLPHMFFCA87CA"
"中山區","臺北市中山區松江路194巷1~30號","其他",1060621,"土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",771212,97.74,3,2,2,"有","無",21600000,220994,"RPPOMLTKPHMFFCA38CA"
"中山區","臺北市中山區農安街1~30號","商",1060629,"土地1建物1車位0","十一層","十四層","套房(1房1廳1衛)","商業用","鋼筋混凝土造",980622,51.82,0,1,1,"有","有",10720000,206870,"RPRNMLTKPHMFFCA48CA"
"萬華區","臺北市萬華區康定路91~120號","商",1060703,"土地1建物1車位0","十三層","二十六層","套房(1房1廳1衛)","住家用","見其他登記事項",1050331,53.67,1,1,1,"有","有",10560000,196721,"RPQNMLRKQHMFFBA18CA"
"萬華區","臺北市萬華區康定路91~120號","商",1060703,"土地1建物1車位0","七層","二十六層","套房(1房1廳1衛)","住家用","見其他登記事項",1050331,53.89,1,1,1,"有","有",10400000,192986,"RPRNMLRKQHMFFBA28CA"
"萬華區","臺北市萬華區康定路91~120號","商",1060703,"土地1建物1車位0","二十二層","二十六層","套房(1房1廳1衛)","住家用","見其他登記事項",1050331,53.67,1,1,1,"有","有",11180000,208271,"RPTNMLRKQHMFFBA48CA"
"萬華區","臺北市萬華區民和街1~30號","住",1060710,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",741009,93.61,1,1,2,"有","無",14000000,149557,"RPROMLPKQHMFFBA18CA"
"中正區","臺北市中正區博愛路181~210號","住",1060623,"土地0建物1車位0","四層","六層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",660921,90.67,3,2,2,"有","有",17000000,187493,"RPVNMLMJQHMFFAA97CA"
"文山區","臺北市文山區興隆路二段241~270號","其他",1060609,"土地1建物1車位0","十一層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",840105,86.45,2,1,1,"有","有",6450000,74610,"RPUNMLLLPHMFFAA87CA"
"文山區","臺北市文山區木柵路四段121~150號","其他",1060530,"土地2建物1車位0","六層","十九層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1000214,89.69,2,1,1,"有","有",16800000,187312,"RPRNMLOLPHMFFAA87CA"
"文山區","臺北市文山區福興路95巷1~30號","住",1060509,"土地1建物1車位0","六層","十層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",961121,98.68,2,2,2,"有","無",13500000,136792,"RPSNMLTKPHMFFAA38CA"
"文山區","臺北市文山區辛亥路五段73巷7弄1~30號","住",1060423,"土地3建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",721223,65.43,2,1,1,"有","有",8080000,123491,"RPTNMLTKPHMFFAA48CA"
"文山區","臺北市文山區光輝路31~60號","住",1060616,"土地1建物1車位0","一層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",660121,144.03,3,2,2,"有","無",32500000,225647,"RPUNMLTKPHMFFAA58CA"
"萬華區","臺北市萬華區昆明街151~180號","商",1060519,"土地3建物1車位0","二層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",610325,101.45,4,2,1,"有","無",13769450,135726,"RPWOMLPLPHMFFBA68CA"
"萬華區","臺北市萬華區西園路一段136巷16弄1~30號","商",1060620,"土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",750109,81.34,2,2,1,"有","無",7620000,93681,"RPPNMLTKPHMFFBA18CA"
"萬華區","臺北市萬華區西寧南路271~300號","商",1030520,"土地1建物1車位0","三層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1060113,60.67,0,0,0,"無","無",13790000,227295,"RPSOMLKLPHMFFBA77CA"
"中山區","臺北市中山區新生北路二段68巷1~30號","商",1060609,"土地1建物1車位0","六層","十二層","住宅大樓(11層含以上有電梯)","住家用","見其他登記事項",1050602,74.94,2,1,1,"有","有",20860000,278356,"RPRNMLLKQHMFFCA77CA"
"中山區","臺北市中山區林森北路271~300號","商",1060628,"土地1建物1車位0","十一層","十二層","套房(1房1廳1衛)","商業用","鋼筋混凝土造",NA,52.57,0,0,0,"無","有",8800000,167396,"RPRQMLNJQHMFFCA18CA"
"中山區","臺北市中山區復興北路151~180號","商",1060620,"土地1建物1車位0","二層","十二層","辦公商業大樓","商業用","鋼筋混凝土造",720323,314.43,0,0,0,"有","有",66000000,209904,"RPPRMLMJQHMFFCA97CA"
"中山區","臺北市中山區中原街151~180號","住",1060616,"土地1建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","加強磚造",NA,75.81,3,2,2,"有","無",9950000,131249,"RPROMLNJQHMFFCA97CA"
"內湖區","臺北市內湖區金龍路13巷1~30號","住",1060616,"土地2建物1車位0","四層","五層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",1060509,89,2,1,1,"有","有",18800000,211236,"RPOPMLNJQHMFFCA77CA"
"士林區","臺北市士林區文昌路179巷1~30號","住",1060603,"土地1建物1車位0","二層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",630830,77.7,2,2,1,"有","無",12000000,154440,"RPPPMLTKPHMFFEA68CA"
"士林區","臺北市士林區重慶北路四段61~90號","住",1060616,"土地1建物1車位0","七層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",680123,58.06,2,1,1,"有","有",7240000,124699,"RPVPMLSKPHMFFEA56CA"
"士林區","臺北市士林區德行東路271~300號","住",1060624,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",680926,109.85,3,2,2,"有","無",15700000,142922,"RPWPMLSKPHMFFEA66CA"
"松山區","臺北市松山區延壽街330巷8弄1~30號","住",1060521,"土地1建物1車位0","八層","十一層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",980320,188.09,3,2,2,"有","有",41100000,218512,"RPOPMLQLPHMFFDA28CA"
"信義區","臺北市信義區吳興街600巷72弄1~30號","住",1060711,"土地2建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",760205,108.39,3,1,2,"有","無",13000000,119937,"RPQNMLQLPHMFFDA28CA"
"松山區","臺北市松山區民生東路五段181~210號","商",1060617,"土地1建物1車位0","十層","十六層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",721229,38.79,1,1,1,"有","有",7500000,193349,"RPRQMLSKPHMFFDA78CA"
"內湖區","臺北市內湖區安泰街51巷1~30號","住",1060611,"土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",730706,91.29,3,1,1,"有","無",8000000,87633,"RPSPMLMLQHMFFCA28CA"
"信義區","臺北市信義區虎林街141巷1~30號","住",1060625,"土地1建物1車位0","三層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",640103,68.4,2,2,1,"有","無",12280000,179532,"RPTOMLPLPHMFFDA58CA"
"北投區","臺北市北投區中和街398巷5弄1~30號","住",1060619,"土地4建物1車位0","六層","十層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",840622,72.72,2,1,1,"有","有",7500000,103135,"RPWNMLLLPHMFFEA58DA"
"北投區","臺北市北投區行義路154巷19弄1~30號","住",1060526,"土地1建物1車位0","二層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",750207,76.08,2,2,1,"有","無",9500000,124869,"RPSOMLLLPHMFFEA28DA"
"松山區","臺北市松山區民生東路四段31~60號","商",1060526,"土地1建物1車位0","八層","十二層","辦公商業大樓","商業用","鋼筋混凝土造",721221,207.15,0,1,0,"有","有",45750000,220854,"RPXOMLPLPHMFFDA09DA"
"信義區","臺北市信義區吳興街583巷4弄1~30號","住",1060617,"土地1建物1車位0","全","三層","透天厝","住家用","加強磚造",651230,99.06,3,2,2,"有","無",17000000,171613,"RPQNMLTKPHMFFDA58DA"
"士林區","臺北市士林區德行東路190巷40弄1~30號","住",1060703,"土地1建物1車位0","一層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",741114,127.81,3,2,2,"有","有",28800000,225334,"RPTNMLPLQHMFFEA78DA"
"大安區","臺北市大安區信義路四段241~270號","商",1060615,"土地1建物1車位0","十三層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",NA,52.85,2,2,1,"有","有",14560000,275497,"RPQNMLNLPHMFFFA28DA"
"士林區","臺北市士林區中山北路六段290巷28弄1~30號","住",1060510,"土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",691124,91.13,3,2,2,"有","無",14150000,155273,"RPPOMLRJQHMFFEA48DA"
"大安區","臺北市大安區羅斯福路二段91~120號","商",1060616,"土地8建物1車位0","十四層","二十六層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",790927,83.67,2,2,1,"有","有",20000000,239034,"RPUNMLPLPHMFFFA88DA"
"大安區","臺北市大安區信義路四段241~270號","商",1060610,"土地2建物1車位0","十三層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",711106,64.31,2,2,1,"有","有",17280000,268698,"RPPOMLQLPHMFFFA48CA"
"中正區","臺北市中正區汀州路一段140巷31~60號","住",1060423,"土地2建物1車位0","全","二層","透天厝",NA,"加強磚造",NA,120.2,3,2,3,"有","無",17000000,141431,"RPRNMLLLPHMFFAA67DA"
"萬華區","臺北市萬華區永福街31~60號","商",1060122,"土地1建物1車位0","二層，騎樓","五層","公寓(5樓含以下無電梯)",NA,"鋼筋混凝土造",620106,85.55,5,0,4,"有","無",12300000,143776,"RPRNMLKMPHMFFBA77DA"
"中山區","臺北市中山區建國北路二段6巷1~30號","住",1060707,"土地1建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","加強磚造",570501,112.56,4,0,2,"有","無",14350000,127488,"RPTOMLSKPHMFFCA78DA"
"內湖區","臺北市內湖區康寧路一段181~210號","住",1060526,"土地1建物1車位0","二層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",681018,93.38,3,1,1,"有","無",6565450,70309,"RPROMLKLPHMFFCA87DA"
"中正區","臺北市中正區臨沂街71巷1~30號","住",1060608,"土地1建物1車位0","二層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",720815,126.99,3,2,2,"有","無",14537800,114489,"RPPOMLNJQHMFFBA77DA"
"中山區","臺北市中山區民生西路45巷11弄1~30號","住",1060605,"土地1建物1車位0","三層","四層","公寓(5樓含以下無電梯)",NA,"加強磚造",NA,81.25,3,2,1,"有","無",13500000,166154,"RPOOMLPLPHMFFCA08DA"
"北投區","臺北市北投區中央北路四段583巷10弄1~30號","住",1060711,"土地2建物1車位0","二層","五層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",1050817,52.72,1,1,1,"有","有",9000000,170713,"RPXNMLLLPHMFFEA58CA"
"北投區","臺北市北投區中山北路七段219巷3弄91~120號","住",1060629,"土地1建物1車位0","二層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",730920,108.29,4,2,2,"有","有",13100000,120971,"RPOPMLPLPHMFFEA28CA"
"北投區","臺北市北投區建民路125巷1~30號","住",1060614,"土地1建物1車位0","五層","七層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",1050602,57,1,1,1,"有","無",10880000,190877,"RPXOMLQLPHMFFEA56CA"
"北投區","臺北市北投區泉源路31~60號","住",1060619,"土地1建物1車位0","二層","十三層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",890615,50.06,1,1,1,"有","有",6000000,119856,"RPPNMLNJQHMFFEA87CA"
"北投區","臺北市北投區明德路333巷31~60號","住",1060620,"土地1建物1車位0","二層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",690408,110.18,5,0,5,"有","無",20000000,181521,"RPVPMLLKQHMFFEA58CA"
"大安區","臺北市大安區東豐街31~60號","住",1060524,"土地2建物1車位0","五層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",611215,238.9,5,2,2,"有","有",69900000,292591,"RPSPMLKLPHMFFFA28CA"
"大安區","臺北市大安區信義路三段61~90號","商",1060508,"土地2建物1車位0","一層，騎樓","十四層","店面(店鋪)","商業用","鋼筋混凝土造",871103,315.62,3,1,2,"有","有",258659550,819528,"RPPNMLLLPHMFFFA87CA"
"大安區","臺北市大安區復興南路二段151巷1~30號","住",1060512,"土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",NA,97.93,3,1,2,"有","無",18000000,183805,"RPRNMLOLPHMFFFA38CA"
"大安區","臺北市大安區泰順街33巷1~30號","住",1060704,"土地1建物1車位0","七層，夾層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",910117,69.55,4,3,3,"有","有",5400000,77653,"RPPQMLSKPHMFFFA78CA"
"大安區","臺北市大安區杭州南路二段91~120號","商",1060601,"土地2建物1車位0","五層","十二層","辦公商業大樓","商業用","鋼筋混凝土造",750401,181.33,4,2,2,"有","有",39500000,217835,"RPPNMLTKPHMFFFA58CA"
"大安區","臺北市大安區忠孝東路四段121~150號","商",1060607,"土地1建物1車位0","四層","十二層","住宅大樓(11層含以上有電梯)","商業用","鋼筋混凝土造",710209,68.02,0,0,0,"無","有",17000000,249926,"RPUNMLKLPHMFFFA28CA"
"大安區","臺北市大安區建國南路一段307巷1~30號","住",1060618,"土地2建物1車位0","十層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",760226,93.27,3,2,2,"有","有",23500000,251957,"RPVOMLKLPHMFFFA48CA"
"大安區","臺北市大安區安居街121~150號","住",1060522,"土地1建物1車位0","三層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",NA,86.37,5,0,2,"有","無",11500000,133148,"RPPPMLKLPHMFFFA97CA"
"大安區","臺北市大安區建國南路二段151~180號","住",1060617,"土地1建物1車位0","五層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",NA,127.57,3,2,2,"有","有",28300000,221839,"RPRPMLKLPHMFFFA18CA"
"大安區","臺北市大安區仁愛路四段300巷17弄1~30號","住",1060515,"土地1建物1車位0","二層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",730724,141.96,3,2,2,"有","無",36500000,257115,"RPUPMLKLPHMFFFA48CA"
"大安區","臺北市大安區復興南路二段148巷1~30號","住",1060520,"土地3建物1車位0","二層","十一層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",NA,138.52,3,2,2,"有","無",33000000,238233,"RPVPMLOLPHMFFFA98CA"
"北投區","臺北市北投區中和街507巷3弄1~30號","住",1060615,"土地1建物4車位0","六層","七層","套房(1房1廳1衛)","住家用","鋼筋混凝土造",1050224,256.84,0,0,1,"無","有",39000000,151846,"RPWNMLLMPHMFFEA58CA"
